iter	RMSE
225	21853.18065
226	21824.4441
227	21816.74346
228	21793.66125
229	21774.20136
230	21761.1245
231	21738.92872
232	21717.02594
233	21712.42066
234	21693.46848
235	21677.20113
236	21656.46295
237	21639.14787
238	21629.44481
239	21612.94016
240	21597.26359
241	21558.85943
242	21524.33181
243	21492.44407
244	21469.35354
245	21438.24262
246	21397.31094
247	21373.60749
248	21333.42519
249	21326.76698
250	21313.37597
251	21304.50246
252	21271.33369
253	21247.13684
254	21213.64799
255	21185.56968
256	21159.96
257	21151.53832
258	21120.92068
259	21086.02568
260	21054.37193
261	21022.19493
262	20998.30111
263	20981.78651
264	20971.76349
265	20950.96266
266	20942.19656
267	20911.97493
268	20879.10499
269	20856.79927
270	20825.86327
271	20819.12208
272	20799.70997
273	20763.77642
274	20742.3012
275	20716.53623
276	20690.14905
277	20661.2455
278	20646.5478
279	20615.98405
280	20591.41011
281	20571.74749
282	20561.3736
283	20538.62483
284	20515.98144
285	20492.00826
286	20455.20405
287	20433.30891
288	20403.32262
289	20384.83977
290	20366.05074
291	20357.77659
292	20338.83431
293	20330.5651
294	20317.99759
295	20292.65929
296	20268.6728
297	20246.34394
298	20231.08529
299	20206.35613
300	20175.50842
301	20158.41374
302	20138.14917
303	20114.75933
304	20097.74144
305	20072.42177
306	20058.88084
307	20036.75374
308	20014.81664
309	19994.68583
310	19970.07589
311	19948.23916
312	19924.96463
313	19903.90765
314	19890.18706
315	19877.02282
316	19862.21548
317	19850.70652
318	19838.40322
319	19807.99353
320	19789.17669
321	19773.0505
322	19759.86593
323	19738.34224
324	19706.48323
325	19684.93116
326	19665.11122
327	19647.32556
328	19627.6573
329	19607.58149
330	19592.78805
331	19565.26877
332	19543.84479
333	19524.17597
334	19507.29911
335	19494.52812
336	19486.9135
337	19470.59193
338	19445.35679
339	19421.01363
340	19399.72469
341	19395.96508
342	19369.73864
343	19352.66849
344	19338.68788
345	19320.76997
346	19309.23297
347	19294.44986
348	19268.61027
349	19263.12295
350	19251.19504
351	19240.91292
352	19218.51226
353	19197.32467
354	19180.38197
355	19177.47268
356	19166.78316
357	19142.03468
358	19127.49053
359	19126.01907
360	19120.55572
361	19113.89267
362	19096.25418
363	19089.79949
364	19063.63654
365	19050.82382
366	19039.15648
367	19016.99984
368	18991.87611
369	18980.53462
370	18966.45203
371	18940.78578
372	18916.8223
373	18902.32804
374	18881.35182
375	18850.16418
376	18830.99977
377	18823.01728
378	18803.75912
379	18786.83293
380	18764.92203
381	18737.78795
382	18732.95885
383	18714.49116
384	18700.8184
385	18685.57454
386	18669.99921
387	18650.2993
388	18637.82609
389	18622.49224
390	18609.46644
391	18593.89253
392	18591.62185
393	18579.06236
394	18564.99102
395	18543.76833
396	18517.54023
397	18510.71194
398	18501.72498
399	18470.94565
400	18449.8702
401	18443.28464
402	18427.93122
403	18423.4311
404	18409.78937
405	18401.14644
406	18392.87797
407	18371.77646
408	18356.05574
409	18342.69383
410	18329.55634
411	18322.25457
412	18308.29897
413	18278.35528
